feature,coefficient,abs_coefficient
ava,-3.1264440105899074,3.1264440105899074
левш,-3.125912743029306,3.125912743029306
 ж,3.125603584670653,3.125603584670653
 Пот,-3.125008230293825,3.125008230293825
Пот,-3.124815558438687,3.124815558438687
00к,-3.1225319035112524,3.1225319035112524
жем,3.11847965250487,3.11847965250487
лг,3.118029712000016,3.118029712000016
чер ,3.1177722973712325,3.1177722973712325
се ,-3.115805857541258,3.115805857541258
ко ,3.115761581146191,3.115761581146191
риц,-3.1156073331641463,3.1156073331641463
вши,-3.1150605997731593,3.1150605997731593
спе,3.1134544171906295,3.1134544171906295
 й,3.1128102801775697,3.1128102801775697
чус,3.111878452297446,3.111878452297446
 1.,-3.1115907554011053,3.1115907554011053
вати,3.1106101724752526,3.1106101724752526
ыстр,3.10920136928222,3.10920136928222
01,-3.107999178677616,3.107999178677616
/,3.1072469822043813,3.1072469822043813
сани,3.1062772762219724,3.1062772762219724
 79,-3.1051128717662917,3.1051128717662917
ате,-3.1047385587469645,3.1047385587469645
редо,3.104714840889286,3.104714840889286
ы ,3.100639366419922,3.100639366419922
опре,-3.1004246281920587,3.1004246281920587
5500,3.0977895332715577,3.0977895332715577
 дан,-3.095616701896082,3.095616701896082
Цен,-3.094430238537885,3.094430238537885
Ищу,3.0920247696928604,3.0920247696928604
нe,3.0908791691799933,3.0908791691799933
 чу,-3.090790756629933,3.090790756629933
пo,3.088987570760348,3.088987570760348
азра,-3.0886837909240725,3.0886837909240725
 Ищу,3.088627010860049,3.088627010860049
 мн,3.0882789195379963,3.0882789195379963
ьму ,3.085122852388872,3.085122852388872
жног,3.0846323294814852,3.0846323294814852
 акт,3.081953818872007,3.081953818872007
 пиш,3.0817301857106467,3.0817301857106467
